Entry_No,Posting_Date,Document_Type,Document_No,External_Document_No,Transaction_No,G_L_Account_No,Description,Amount,Debit_Amount,Credit_Amount,Source_Code,Source_Type,Source_No,Dimension_Set_ID,Global_Dimension_1_Code,Global_Dimension_2_Code,Business_Unit_Code,IC_Partner_Code,User_ID,Reversed,Reversed_by_Entry_No,Reversed_Entry_No
85,2026-01-31,,WB-2026-01,,85,B70400,Other Payables-Refunds,-2849150.0,0,2849150.0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
86,2026-01-31,,WB-2026-01,,86,B70410,Housing Levy,-1513886.0,0,1513886.0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
87,2026-01-31,,WB-2026-01,,87,B70420,Absa Check off,-577900.0,0,577900.0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
88,2026-01-31,,WB-2026-01,,88,B75120,Tax Provision-Other,-2585602.0,0,2585602.0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
89,2026-01-31,,WB-2026-01,,89,B80110,Bonus(General provision),-29991243.83,0,29991243.83,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
90,2026-01-31,,WB-2026-01,,90,B80170,VAT Control Account,-19111011.03,0,19111011.03,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
91,2026-01-31,,WB-2026-01,,91,B80190,Supplier Accounts - Take-On Suspense Acc,-1.05,0,1.05,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
92,2026-01-31,,WB-2026-01,,92,I10060,Actuarial - Once-off,-17131842.67,0,17131842.67,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
93,2026-01-31,,WB-2026-01,,93,I10073.2,Management Fees,-2160728.2,0,2160728.2,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
94,2026-01-31,,WB-2026-01,,94,I10122,Trustee Training/Workshops,-250000.0,0,250000.0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
95,2026-01-31,,WB-2026-01,,95,I10123,Other Incomes - one off,-6000.0,0,6000.0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
96,2026-01-31,,WB-2026-01,,96,I25001,Emol.Pack-Salaries,50447885.0,50447885.0,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
97,2026-01-31,,WB-2026-01,,97,I25002,Emol.Pack-Housing Subsid,756744.0,756744.0,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
98,2026-01-31,,WB-2026-01,,98,I25003,Emol.Pack-Med.Contribut.,2888646.79,2888646.79,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
99,2026-01-31,,WB-2026-01,,99,I25004,Emol.Pack-Pens.Contribut.,4461148.0,4461148.0,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
