Entry_No,Posting_Date,Document_Type,Document_No,External_Document_No,Transaction_No,G_L_Account_No,Description,Amount,Debit_Amount,Credit_Amount,Source_Code,Source_Type,Source_No,Dimension_Set_ID,Global_Dimension_1_Code,Global_Dimension_2_Code,Business_Unit_Code,IC_Partner_Code,User_ID,Reversed,Reversed_by_Entry_No,Reversed_Entry_No
80,2026-02-28,,WB-2026-02,,80,2170,Depreciation -All,1021203.0,1021203.0,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
81,2026-02-28,,WB-2026-02,,81,2180,Depreciation-Motor Vehicles,1564583.0,1564583.0,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
82,2026-02-28,,WB-2026-02,,82,2190,Depreciation- Furniture & Fittings,321072.0,321072.0,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
83,2026-02-28,,WB-2026-02,,83,2195,Depreciation- Software,377685.0,377685.0,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
84,2026-02-28,,WB-2026-02,,84,2380,staff entertainment & reception,178959.0,178959.0,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
85,2026-02-28,,WB-2026-02,,85,2400,RSSB -Employer Contributions,2178613.48,2178613.48,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
86,2026-02-28,,WB-2026-02,,86,2405,RSSB STAFF.MATERNITY,81698.01,81698.01,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
87,2026-02-28,,WB-2026-02,,87,2430,Internet Services,508475.0,508475.0,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
88,2026-02-28,,WB-2026-02,,88,2450,Staff Cost,765000.0,765000.0,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
89,2026-02-28,,WB-2026-02,,89,2500,Parking Fee,67797.0,67797.0,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
90,2026-02-28,,WB-2026-02,,90,2520,Cleaning & Sanitation Expenses,150000.0,150000.0,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
91,2026-02-28,,WB-2026-02,,91,2550,Motor Vehicle Fuel Expense,593220.0,593220.0,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
92,2026-02-28,,WB-2026-02,,92,2640,Other Expense,272076.51,272076.51,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
93,2026-02-28,,WB-2026-02,,93,2655,Legal & Professional fees,1200000.0,1200000.0,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
94,2026-02-28,,WB-2026-02,,94,2740,Communication allowances,652543.0,652543.0,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
95,2026-02-28,,WB-2026-02,,95,3002,Accumulated Depreciation-Motor vehicles,-1564583.0,0,1564583.0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
96,2026-02-28,,WB-2026-02,,96,3012,Accumulated Depreciation-Computer Equipment,-1021203.5,0,1021203.5,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
97,2026-02-28,,WB-2026-02,,97,3017,Accumulated Depreciation-Furniture And Fittings,-321072.0,0,321072.0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
98,2026-02-28,,WB-2026-02,,98,3030,System software-Acc Depreciation,-377684.85,0,377684.85,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
99,2026-02-28,,WB-2026-02,,99,4010,Petty Cash,538650.0,538650.0,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
100,2026-02-28,,WB-2026-02,,100,4017,Bank Account (ZAMARA AAIB LTD),7832441.0,7832441.0,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
101,2026-02-28,,WB-2026-02,,101,4018,Investments,-7018000.0,0,7018000.0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
102,2026-02-28,,WB-2026-02,,102,4019,NCBA Account USD,5122665.0,5122665.0,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
103,2026-02-28,,WB-2026-02,,103,5010,Trade Debtors,-49082166.1,0,49082166.1,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
104,2026-02-28,,WB-2026-02,,104,5040,Vat Payable,-3124400.0,0,3124400.0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
105,2026-02-28,,WB-2026-02,,105,5045,Witholding tax payable,-0.5,0,0.5,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
106,2026-02-28,,WB-2026-02,,106,5046,Withholding tax recovarable,457626.6,457626.6,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
107,2026-02-28,,WB-2026-02,,107,5080,Other Payables,2.27,2.27,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
108,2026-02-28,,WB-2026-02,,108,5085,RSSB .STAFF MATERNITY PAYBLE,-3.98,0,3.98,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
109,2026-02-28,,WB-2026-02,,109,5130,PAYE Payable,1.65,1.65,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
110,2026-02-28,,WB-2026-02,,110,5190,Net Salaries Payable,1.24,1.24,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
111,2026-02-28,,WB-2026-02,,111,6110,Retained Earnings,0.1,0.1,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
112,2026-02-28,,WB-2026-02,,112,7000,GENERAL ACCOUNT PAYABLES,0.76,0.76,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
113,2026-02-28,,WB-2026-02,,113,7001,Accrued Income,1090587.71,1090587.71,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
114,2026-02-28,,WB-2026-02,,114,7010,Tekana Scheme Employer contribution,232895.0,232895.0,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
115,2026-02-28,,WB-2026-02,,115,7025,Pension Administration(Tekana),-1774560.0,0,1774560.0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
116,2026-02-28,,WB-2026-02,,116,B55270,Sundry Debtors-SONARWA,-992400.0,0,992400.0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
117,2026-02-28,,WB-2026-02,,117,B55360,Deposits,-3020000.0,0,3020000.0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
118,2026-02-28,,WB-2026-02,,118,B60440,Bank account- ZAAIB,48624535.5,48624535.5,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
119,2026-02-28,,WB-2026-02,,119,B65190,Prepayments,-4690334.0,0,4690334.0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
120,2026-02-28,,WB-2026-02,,120,B70235,Salaries And Wages,27232669.0,27232669.0,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
121,2026-02-28,,WB-2026-02,,121,B70461,Deduction-Provident fund payable,0.1,0.1,0,WORKBOOK,,,0,,,,,RESEED_CONSOLIDATED_ACCOUNTS,false,,
