entity,period,statement,category_l1,category_l2,statement_line_code,line_label,line_order,dbt_kes,client_kes,difference,difference_pct,status,reason,note,client_as_stated_kes
C&P,2026-03,SFP,EQUITY AND LIABILITIES,Current Liabilities,trade_and_other_payables,Trade and other payables,480,6383627.17,6383627.17,0.0,0.0,tie,,,-6383627.17
C&P,2026-03,SFP,EQUITY AND LIABILITIES,Current Liabilities,premium_payable,Premium payable,500,0.0,0.0,0.0,,tie,,,0.0
C&P,2026-03,SFP,EQUITY AND LIABILITIES,Current Liabilities,borrowings,Borrowings,510,0.0,0.0,0.0,,tie,,,0.0
C&P,2026-04,SCI,INCOME,Revenue,actuarial_fees,Actuarial Fees,10,0.0,0.0,0.0,,tie,,,0.0
C&P,2026-04,SCI,INCOME,Revenue,pension_admin_fee,Pension Admin Fee,20,16660920.32,16660920.32,0.0,0.0,tie,,,-16660920.32
C&P,2026-04,SCI,INCOME,Revenue,insurance_commissions,Insurance Commissions,40,0.0,111488.75,-111488.75,-100.0,DIFFERENCE,we show nothing,,-111488.75
C&P,2026-04,SCI,INCOME,Revenue,saas_income,SAAS (Software as a Service),50,0.0,0.0,0.0,,tie,,,0.0
C&P,2026-04,SCI,INCOME,Other income,other_income,Other Income,70,111488.75,0.0,111488.75,,DIFFERENCE,client shows nothing,,0.0
C&P,2026-04,SCI,EXPENSES,Operating expenses,personnel_costs,Personnel Costs,80,0.0,0.0,0.0,,tie,,,0.0
C&P,2026-04,SCI,EXPENSES,Operating expenses,travelling,Travelling,90,0.0,0.0,0.0,,tie,,,0.0
C&P,2026-04,SCI,EXPENSES,Operating expenses,entertainment,Entertainment,100,0.0,0.0,0.0,,tie,,,0.0
C&P,2026-04,SCI,EXPENSES,Operating expenses,it_costs,IT Costs,110,0.0,0.0,0.0,,tie,,,0.0
C&P,2026-04,SCI,EXPENSES,Operating expenses,communications,Communications,120,0.0,0.0,0.0,,tie,,,0.0
C&P,2026-04,SCI,EXPENSES,Operating expenses,printing_stationery,Printing & Stationery,130,0.0,0.0,0.0,,tie,,,0.0
C&P,2026-04,SCI,EXPENSES,Operating expenses,premises,Premises,140,0.0,0.0,0.0,,tie,,,0.0
C&P,2026-04,SCI,EXPENSES,Operating expenses,advertising_pr,Advertising & PR,150,0.0,0.0,0.0,,tie,,,0.0
C&P,2026-04,SCI,EXPENSES,Operating expenses,insurance,Insurance,160,1391180.32,1391180.32,0.0,0.0,tie,,,1391180.32
C&P,2026-04,SCI,EXPENSES,Operating expenses,professional_fees,Professional Fees,170,1056733.32,1056733.32,0.0,0.0,tie,,,1056733.32
C&P,2026-04,SCI,EXPENSES,Operating expenses,depreciation,Depreciation,180,0.0,0.0,0.0,,tie,,,0.0
C&P,2026-04,SCI,EXPENSES,Operating expenses,motor_vehicle_expenses,Motor Vehicle Expenses,190,0.0,0.0,0.0,,tie,,,0.0
C&P,2026-04,SCI,EXPENSES,Operating expenses,general_expenses,General Expenses,200,2319422.18,2319422.18,0.0,0.0,tie,,,2319422.18
C&P,2026-04,SCI,EXPENSES,Operating expenses,management_expense,Management Expense,210,0.0,0.0,0.0,,tie,,,0.0
C&P,2026-04,SCI,EXPENSES,Finance costs,finance_costs,Finance cost,220,0.0,0.0,0.0,,tie,,,0.0
C&P,2026-04,SCI,EXPENSES,Taxation,taxation,Taxation,230,3601521.98,3601521.98,-0.0,-0.0,tie,,,3601521.98
C&P,2026-04,SFP,ASSETS,Non-Current Assets,ppe,"Property, Plant and Equipment",240,0.0,0.0,0.0,,tie,,,0.0
C&P,2026-04,SFP,ASSETS,Non-Current Assets,computer_software,Intangible - computer software,250,0.0,0.0,0.0,,tie,,,0.0
C&P,2026-04,SFP,ASSETS,Non-Current Assets,goodwill,Intangible - goodwill,260,0.0,0.0,0.0,,tie,,,0.0
C&P,2026-04,SFP,ASSETS,Non-Current Assets,investment_in_associate,Investment in associate,270,0.0,0.0,0.0,,tie,,,0.0
C&P,2026-04,SFP,ASSETS,Non-Current Assets,investment_unquoted_equity,Investment in unquoted equity securities,280,0.0,0.0,0.0,,tie,,,0.0
C&P,2026-04,SFP,ASSETS,Non-Current Assets,deposit_for_investment_in_subsidiary,Deposit for investment in subsidiary,290,0.0,0.0,0.0,,tie,,,0.0
C&P,2026-04,SFP,ASSETS,Non-Current Assets,deferred_tax,Deferred tax,310,4287361.0,4287361.0,0.0,0.0,tie,,,4287361.0
C&P,2026-04,SFP,ASSETS,Current Assets,trade_receivables,Trade Receivables (Debtors),320,40891706.67,40891706.67,0.0,0.0,tie,,,40891706.67
C&P,2026-04,SFP,ASSETS,Current Assets,premium_receivables,Premium Receivables,330,0.0,0.0,0.0,,tie,,,0.0
C&P,2026-04,SFP,ASSETS,Current Assets,other_receivables,Other Receivables,340,-7814075.31,-8161870.83,347795.52,-4.26,DIFFERENCE,classification,offset by Cash - Placements,-8161870.83
C&P,2026-04,SFP,ASSETS,Current Assets,due_from_to_related_parties,Due from/to related parties,350,92114182.15,92114182.15,-0.0,-0.0,tie,,,92114182.15
C&P,2026-04,SFP,ASSETS,Current Assets,office_cash,Cash - Office Cash,360,6023667.38,6023667.38,0.0,0.0,tie,,,6023667.38
C&P,2026-04,SFP,ASSETS,Current Assets,deposits,Cash - Deposits,380,22284303.0,22284303.0,0.0,0.0,tie,,,22284303.0
C&P,2026-04,SFP,ASSETS,Current Assets,placements,Cash - Placements,390,0.0,347795.52,-347795.52,-100.0,DIFFERENCE,we show nothing,,347795.52
C&P,2026-04,SFP,ASSETS,Current Assets,tax_recoverable,Tax recoverable,400,-993355.98,-993355.97,-0.01,0.0,tie,,,-993355.97
C&P,2026-04,SFP,ASSETS,Current Assets,accrued_income,Accrued Income,410,16660920.32,16660920.32,0.0,0.0,tie,,,16660920.32
C&P,2026-04,SFP,EQUITY AND LIABILITIES,Equity,share_capital,Share capital,420,25000000.0,25000000.0,0.0,0.0,tie,,,-25000000.0
C&P,2026-04,SFP,EQUITY AND LIABILITIES,Equity,translation_reserve,Translation reserve,430,0.0,0.0,0.0,,tie,,,0.0
C&P,2026-04,SFP,EQUITY AND LIABILITIES,Equity,proposed_dividend,Proposed dividend,440,0.0,0.0,0.0,,tie,,,0.0
