period,period_end,entity,statement,section_group,line_label,row_type,statement_line_code,amount_client_basis,amount_presentation,source_tab,source_row,source_file
2026-04,2026-04-30,ZHL,SCI,INCOME,Insurance Commissions,detail,insurance_commissions,0.0,-0.0,SCI Detailed,11,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,ZATL,SCI,INCOME,Insurance Commissions,detail,insurance_commissions,0.0,-0.0,SCI Detailed,11,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,DRC,SCI,INCOME,Insurance Commissions,detail,insurance_commissions,-22791627.94,22791627.94,SCI Detailed,11,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,C&P,SCI,INCOME,Insurance Commissions,detail,insurance_commissions,-111488.75,111488.75,SCI Detailed,11,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,ZAAC,SCI,INCOME,SAAS (Software as a Service),detail,saas_income,-9068347.0,9068347.0,SCI Detailed,12,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,ZAMRE,SCI,INCOME,SAAS (Software as a Service),detail,saas_income,0.0,-0.0,SCI Detailed,12,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,ZARIB,SCI,INCOME,SAAS (Software as a Service),detail,saas_income,0.0,-0.0,SCI Detailed,12,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,MALAWI,SCI,INCOME,SAAS (Software as a Service),detail,saas_income,0.0,-0.0,SCI Detailed,12,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,MENA,SCI,INCOME,SAAS (Software as a Service),detail,saas_income,0.0,-0.0,SCI Detailed,12,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,NIGERIA,SCI,INCOME,SAAS (Software as a Service),detail,saas_income,0.0,-0.0,SCI Detailed,12,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,RWANDA,SCI,INCOME,SAAS (Software as a Service),detail,saas_income,0.0,-0.0,SCI Detailed,12,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,ZHL,SCI,INCOME,SAAS (Software as a Service),detail,saas_income,0.0,-0.0,SCI Detailed,12,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,ZATL,SCI,INCOME,SAAS (Software as a Service),detail,saas_income,0.0,-0.0,SCI Detailed,12,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,DRC,SCI,INCOME,SAAS (Software as a Service),detail,saas_income,0.0,-0.0,SCI Detailed,12,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,C&P,SCI,INCOME,SAAS (Software as a Service),detail,saas_income,0.0,-0.0,SCI Detailed,12,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,ZAAC,SCI,INCOME,Retail,detail,retail_income,-39729007.54,39729007.54,SCI Detailed,13,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,ZAAC,SCI,INCOME,Other Income,detail,other_income,-9317489.74,9317489.74,SCI Detailed,14,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,ZAMRE,SCI,INCOME,Other Income,detail,other_income,-530346.0,530346.0,SCI Detailed,14,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,ZARIB,SCI,INCOME,Other Income,detail,other_income,-20659389.39,20659389.39,SCI Detailed,14,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,MALAWI,SCI,INCOME,Other Income,detail,other_income,-4300392.0,4300392.0,SCI Detailed,14,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,MENA,SCI,INCOME,Other Income,detail,other_income,0.0,-0.0,SCI Detailed,14,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,NIGERIA,SCI,INCOME,Other Income,detail,other_income,-322777.05,322777.05,SCI Detailed,14,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,RWANDA,SCI,INCOME,Other Income,detail,other_income,-462100.86,462100.86,SCI Detailed,14,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,ZHL,SCI,INCOME,Other Income,detail,other_income,-108739.63,108739.63,SCI Detailed,14,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,ZATL,SCI,INCOME,Other Income,detail,other_income,-9732.21,9732.21,SCI Detailed,14,April 2026 Consolidated Accounts.xlsx
2026-04,2026-04-30,DRC,SCI,INCOME,Other Income,detail,other_income,0.0,-0.0,SCI Detailed,14,April 2026 Consolidated Accounts.xlsx
