period,entity,statement,statement_line_code,line_label,category_l1,line_order,client_basis_kes,client_presentation_kes
2026-02,MALAWI,SCI,communications,Communications,EXPENSES,120,153649.65,153649.65
2026-02,MALAWI,SCI,depreciation,Depreciation,EXPENSES,180,2617967.16,2617967.16
2026-02,MALAWI,SCI,entertainment,Entertainment,EXPENSES,100,0.0,0.0
2026-02,MALAWI,SCI,finance_costs,Finance cost,EXPENSES,220,0.0,0.0
2026-02,MALAWI,SCI,general_expenses,General Expenses,EXPENSES,200,358255.31,358255.31
2026-02,MALAWI,SCI,insurance,Insurance,EXPENSES,160,577697.97,577697.97
2026-02,MALAWI,SCI,insurance_commissions,Insurance Commissions,INCOME,40,0.0,-0.0
2026-02,MALAWI,SCI,it_costs,IT Costs,EXPENSES,110,0.0,0.0
2026-02,MALAWI,SCI,management_expense,Management Expense,EXPENSES,210,2829088.69,2829088.69
2026-02,MALAWI,SCI,motor_vehicle_expenses,Motor Vehicle Expenses,EXPENSES,190,312565.21,312565.21
2026-02,MALAWI,SCI,other_income,Other Income,INCOME,70,-2062952.21,2062952.21
2026-02,MALAWI,SCI,pension_admin_fee,Pension Admin Fee,INCOME,20,-36130002.85,36130002.85
2026-02,MALAWI,SCI,personnel_costs,Personnel Costs,EXPENSES,80,8980617.11,8980617.11
2026-02,MALAWI,SCI,premises,Premises,EXPENSES,140,706449.57,706449.57
2026-02,MALAWI,SCI,printing_stationery,Printing & Stationery,EXPENSES,130,250690.95,250690.95
2026-02,MALAWI,SCI,professional_fees,Professional Fees,EXPENSES,170,772396.57,772396.57
2026-02,MALAWI,SCI,saas_income,SAAS (Software as a Service),INCOME,50,0.0,-0.0
2026-02,MALAWI,SCI,taxation,Taxation,EXPENSES,230,6875326.87,6875326.87
2026-02,MALAWI,SCI,travelling,Travelling,EXPENSES,90,144213.72,144213.72
2026-02,MALAWI,SFP,borrowings,Borrowings,EQUITY AND LIABILITIES,510,0.0,-0.0
2026-02,MALAWI,SFP,computer_software,Intangible - computer software,ASSETS,250,10148233.49,10148233.49
2026-02,MALAWI,SFP,deferred_tax,Deferred tax,ASSETS,310,281393.09,281393.09
2026-02,MALAWI,SFP,deposit_for_investment_in_subsidiary,Deposit for investment in subsidiary,ASSETS,290,0.0,0.0
